Comunidad autónoma de residencia;Tipo de dato;Gastos totales, medios y distribución porcentual;Grupos de gasto (2 dígitos);Periodo;Total
01 Andalucía;Dato base;Gasto medio por hogar;Índice general;2023;29.913,16
01 Andalucía;Dato base;Gasto medio por hogar;Índice general;2022;29.509,58
01 Andalucía;Dato base;Gasto medio por hogar;Índice general;2021;26.965,44
01 Andalucía;Dato base;Gasto medio por hogar;Índice general;2020;24.279,43
02 Aragón;Dato base;Gasto medio por hogar;Índice general;2023;32.980,44
02 Aragón;Dato base;Gasto medio por hogar;Índice general;2022;31.480,70
02 Aragón;Dato base;Gasto medio por hogar;Índice general;2021;28.627,34
02 Aragón;Dato base;Gasto medio por hogar;Índice general;2020;27.695,68
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2023;30.694,45
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2022;29.251,91
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2021;26.092,73
03 Asturias, Principado de;Dato base;Gasto medio por hogar;Índice general;2020;23.504,49
04 Balears, Illes;Dato base;Gasto medio por hogar;Índice general;2023;39.081,03
04 Balears, Illes;Dato base;Gasto medio por hogar;Índice general;2022;35.736,49
04 Balears, Illes;Dato base;Gasto medio por hogar;Índice general;2021;31.177,43
04 Balears, Illes;Dato base;Gasto medio por hogar;Índice general;2020;28.618,46
05 Canarias;Dato base;Gasto medio por hogar;Índice general;2023;29.576,92
05 Canarias;Dato base;Gasto medio por hogar;Índice general;2022;27.489,84
05 Canarias;Dato base;Gasto medio por hogar;Índice general;2021;25.035,27
05 Canarias;Dato base;Gasto medio por hogar;Índice general;2020;21.844,35
06 Cantabria;Dato base;Gasto medio por hogar;Índice general;2023;32.389,73
06 Cantabria;Dato base;Gasto medio por hogar;Índice general;2022;28.965,13
06 Cantabria;Dato base;Gasto medio por hogar;Índice general;2021;26.673,03
06 Cantabria;Dato base;Gasto medio por hogar;Índice general;2020;24.639,51
07 Castilla y León;Dato base;Gasto medio por hogar;Índice general;2023;28.028,22
07 Castilla y León;Dato base;Gasto medio por hogar;Índice general;2022;29.850,00
07 Castilla y León;Dato base;Gasto medio por hogar;Índice general;2021;27.172,39
07 Castilla y León;Dato base;Gasto medio por hogar;Índice general;2020;25.150,35
08 Castilla - La Mancha;Dato base;Gasto medio por hogar;Índice general;2023;29.391,85
08 Castilla - La Mancha;Dato base;Gasto medio por hogar;Índice general;2022;27.632,73
08 Castilla - La Mancha;Dato base;Gasto medio por hogar;Índice general;2021;24.290,52
08 Castilla - La Mancha;Dato base;Gasto medio por hogar;Índice general;2020;23.115,57
09 Cataluña;Dato base;Gasto medio por hogar;Índice general;2023;34.259,05
09 Cataluña;Dato base;Gasto medio por hogar;Índice general;2022;33.084,98
09 Cataluña;Dato base;Gasto medio por hogar;Índice general;2021;31.710,05
09 Cataluña;Dato base;Gasto medio por hogar;Índice general;2020;29.234,76
10 Comunitat Valenciana;Dato base;Gasto medio por hogar;Índice general;2023;31.765,85
10 Comunitat Valenciana;Dato base;Gasto medio por hogar;Índice general;2022;29.969,08
10 Comunitat Valenciana;Dato base;Gasto medio por hogar;Índice general;2021;28.057,28
10 Comunitat Valenciana;Dato base;Gasto medio por hogar;Índice general;2020;25.915,10
11 Extremadura;Dato base;Gasto medio por hogar;Índice general;2023;26.253,76
11 Extremadura;Dato base;Gasto medio por hogar;Índice general;2022;26.634,72
11 Extremadura;Dato base;Gasto medio por hogar;Índice general;2021;24.826,83
11 Extremadura;Dato base;Gasto medio por hogar;Índice general;2020;22.771,16
12 Galicia;Dato base;Gasto medio por hogar;Índice general;2023;32.558,35
12 Galicia;Dato base;Gasto medio por hogar;Índice general;2022;31.115,19
12 Galicia;Dato base;Gasto medio por hogar;Índice general;2021;28.429,63
12 Galicia;Dato base;Gasto medio por hogar;Índice general;2020;24.975,71
13 Madrid, Comunidad de;Dato base;Gasto medio por hogar;Índice general;2023;37.360,47
13 Madrid, Comunidad de;Dato base;Gasto medio por hogar;Índice general;2022;36.197,93
13 Madrid, Comunidad de;Dato base;Gasto medio por hogar;Índice general;2021;34.326,24
13 Madrid, Comunidad de;Dato base;Gasto medio por hogar;Índice general;2020;32.502,41
14 Murcia, Región de;Dato base;Gasto medio por hogar;Índice general;2023;31.851,10
14 Murcia, Región de;Dato base;Gasto medio por hogar;Índice general;2022;31.456,52
14 Murcia, Región de;Dato base;Gasto medio por hogar;Índice general;2021;27.555,87
14 Murcia, Región de;Dato base;Gasto medio por hogar;Índice general;2020;25.080,79
15 Navarra, Comunidad Foral de;Dato base;Gasto medio por hogar;Índice general;2023;35.044,02
15 Navarra, Comunidad Foral de;Dato base;Gasto medio por hogar;Índice general;2022;35.029,48
15 Navarra, Comunidad Foral de;Dato base;Gasto medio por hogar;Índice general;2021;32.676,78
15 Navarra, Comunidad Foral de;Dato base;Gasto medio por hogar;Índice general;2020;31.780,35
16 País Vasco;Dato base;Gasto medio por hogar;Índice general;2023;36.331,06
16 País Vasco;Dato base;Gasto medio por hogar;Índice general;2022;35.454,96
16 País Vasco;Dato base;Gasto medio por hogar;Índice general;2021;33.045,24
16 País Vasco;Dato base;Gasto medio por hogar;Índice general;2020;31.498,23
17 Rioja, La;Dato base;Gasto medio por hogar;Índice general;2023;32.362,74
17 Rioja, La;Dato base;Gasto medio por hogar;Índice general;2022;29.320,94
17 Rioja, La;Dato base;Gasto medio por hogar;Índice general;2021;26.605,35
17 Rioja, La;Dato base;Gasto medio por hogar;Índice general;2020;25.568,16
