Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;Total;2023;51,84
Ambos sexos;Total Nacional;Total;2022;51,07
Ambos sexos;Total Nacional;Total;2021;49,87
Ambos sexos;Total Nacional;Menores de 25 años;2023;26,57
Ambos sexos;Total Nacional;Menores de 25 años;2022;25,70
Ambos sexos;Total Nacional;Menores de 25 años;2021;22,99
Ambos sexos;Total Nacional;25 y más años;2023;55,06
Ambos sexos;Total Nacional;25 y más años;2022;54,24
Ambos sexos;Total Nacional;25 y más años;2021;53,16
Ambos sexos;Total Nacional;De 16 a 19 años;2023;8,21
Ambos sexos;Total Nacional;De 16 a 19 años;2022;7,88
Ambos sexos;Total Nacional;De 16 a 19 años;2021;6,50
Ambos sexos;Total Nacional;De 20 a 24 años;2023;41,38
Ambos sexos;Total Nacional;De 20 a 24 años;2022;40,28
Ambos sexos;Total Nacional;De 20 a 24 años;2021;36,44
Ambos sexos;Total Nacional;De 25 a 54 años;2023;78,38
Ambos sexos;Total Nacional;De 25 a 54 años;2022;77,16
Ambos sexos;Total Nacional;De 25 a 54 años;2021;75,37
Ambos sexos;Total Nacional;55 y más años;2023;26,80
Ambos sexos;Total Nacional;55 y más años;2022;25,97
Ambos sexos;Total Nacional;55 y más años;2021;25,01
Ambos sexos;01 Andalucía;Total;2023;46,87
Ambos sexos;01 Andalucía;Total;2022;45,86
Ambos sexos;01 Andalucía;Total;2021;44,67
Ambos sexos;01 Andalucía;Menores de 25 años;2023;20,94
Ambos sexos;01 Andalucía;Menores de 25 años;2022;21,14
Ambos sexos;01 Andalucía;Menores de 25 años;2021;18,37
Ambos sexos;01 Andalucía;25 y más años;2023;50,38
Ambos sexos;01 Andalucía;25 y más años;2022;49,18
Ambos sexos;01 Andalucía;25 y más años;2021;48,14
Ambos sexos;01 Andalucía;De 16 a 19 años;2023;5,81
Ambos sexos;01 Andalucía;De 16 a 19 años;2022;5,80
Ambos sexos;01 Andalucía;De 16 a 19 años;2021;4,68
Ambos sexos;01 Andalucía;De 20 a 24 años;2023;33,50
Ambos sexos;01 Andalucía;De 20 a 24 años;2022;33,96
Ambos sexos;01 Andalucía;De 20 a 24 años;2021;29,62
Ambos sexos;01 Andalucía;De 25 a 54 años;2023;71,46
Ambos sexos;01 Andalucía;De 25 a 54 años;2022;69,47
Ambos sexos;01 Andalucía;De 25 a 54 años;2021;67,41
Ambos sexos;01 Andalucía;55 y más años;2023;23,42
Ambos sexos;01 Andalucía;55 y más años;2022;22,51
Ambos sexos;01 Andalucía;55 y más años;2021;22,01
Ambos sexos;02 Aragón;Total;2023;53,80
Ambos sexos;02 Aragón;Total;2022;53,27
Ambos sexos;02 Aragón;Total;2021;52,64
Ambos sexos;02 Aragón;Menores de 25 años;2023;27,60
Ambos sexos;02 Aragón;Menores de 25 años;2022;27,88
Ambos sexos;02 Aragón;Menores de 25 años;2021;26,88
Ambos sexos;02 Aragón;25 y más años;2023;57,02
Ambos sexos;02 Aragón;25 y más años;2022;56,34
Ambos sexos;02 Aragón;25 y más años;2021;55,66
Ambos sexos;02 Aragón;De 16 a 19 años;2023;7,48
Ambos sexos;02 Aragón;De 16 a 19 años;2022;11,79
Ambos sexos;02 Aragón;De 16 a 19 años;2021;8,60
Ambos sexos;02 Aragón;De 20 a 24 años;2023;44,11
Ambos sexos;02 Aragón;De 20 a 24 años;2022;41,48
Ambos sexos;02 Aragón;De 20 a 24 años;2021;41,98
Ambos sexos;02 Aragón;De 25 a 54 años;2023;83,91
Ambos sexos;02 Aragón;De 25 a 54 años;2022;82,52
Ambos sexos;02 Aragón;De 25 a 54 años;2021;81,41
Ambos sexos;02 Aragón;55 y más años;2023;27,57
Ambos sexos;02 Aragón;55 y más años;2022;27,33
Ambos sexos;02 Aragón;55 y más años;2021;26,22
Ambos sexos;03 Asturias, Principado de;Total;2023;44,53
Ambos sexos;03 Asturias, Principado de;Total;2022;43,50
Ambos sexos;03 Asturias, Principado de;Total;2021;44,33
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2023;20,93
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2022;17,65
Ambos sexos;03 Asturias, Principado de;Menores de 25 años;2021;18,12
Ambos sexos;03 Asturias, Principado de;25 y más años;2023;46,72
Ambos sexos;03 Asturias, Principado de;25 y más años;2022;45,82
Ambos sexos;03 Asturias, Principado de;25 y más años;2021;46,56
Ambos sexos;03 Asturias, Principado de;De 16 a 19 años;2023;3,51
Ambos sexos;03 Asturias, Principado de;De 16 a 19 años;2022;2,22
Ambos sexos;03 Asturias, Principado de;De 16 a 19 años;2021;2,60
Ambos sexos;03 Asturias, Principado de;De 20 a 24 años;2023;35,95
Ambos sexos;03 Asturias, Principado de;De 20 a 24 años;2022;30,67
Ambos sexos;03 Asturias, Principado de;De 20 a 24 años;2021;30,17
Ambos sexos;03 Asturias, Principado de;De 25 a 54 años;2023;74,88
Ambos sexos;03 Asturias, Principado de;De 25 a 54 años;2022;73,45
Ambos sexos;03 Asturias, Principado de;De 25 a 54 años;2021;74,13
Ambos sexos;03 Asturias, Principado de;55 y más años;2023;21,90
Ambos sexos;03 Asturias, Principado de;55 y más años;2022;21,01
Ambos sexos;03 Asturias, Principado de;55 y más años;2021;21,09
Ambos sexos;04 Balears, Illes;Total;2023;57,12
Ambos sexos;04 Balears, Illes;Total;2022;57,09
Ambos sexos;04 Balears, Illes;Total;2021;53,87
Ambos sexos;04 Balears, Illes;Menores de 25 años;2023;32,39
Ambos sexos;04 Balears, Illes;Menores de 25 años;2022;31,50
Ambos sexos;04 Balears, Illes;Menores de 25 años;2021;23,70
Ambos sexos;04 Balears, Illes;25 y más años;2023;60,29
Ambos sexos;04 Balears, Illes;25 y más años;2022;60,24
Ambos sexos;04 Balears, Illes;25 y más años;2021;57,56
Ambos sexos;04 Balears, Illes;De 16 a 19 años;2023;12,82
Ambos sexos;04 Balears, Illes;De 16 a 19 años;2022;9,69
Ambos sexos;04 Balears, Illes;De 16 a 19 años;2021;8,51
Ambos sexos;04 Balears, Illes;De 20 a 24 años;2023;47,90
Ambos sexos;04 Balears, Illes;De 20 a 24 años;2022;48,45
Ambos sexos;04 Balears, Illes;De 20 a 24 años;2021;35,82
Ambos sexos;04 Balears, Illes;De 25 a 54 años;2023;78,70
Ambos sexos;04 Balears, Illes;De 25 a 54 años;2022;78,82
Ambos sexos;04 Balears, Illes;De 25 a 54 años;2021;74,35
Ambos sexos;04 Balears, Illes;55 y más años;2023;31,79
Ambos sexos;04 Balears, Illes;55 y más años;2022;31,18
Ambos sexos;04 Balears, Illes;55 y más años;2021;30,60
Ambos sexos;05 Canarias;Total;2023;50,18
Ambos sexos;05 Canarias;Total;2022;48,72
Ambos sexos;05 Canarias;Total;2021;44,52
Ambos sexos;05 Canarias;Menores de 25 años;2023;24,73
Ambos sexos;05 Canarias;Menores de 25 años;2022;18,09
Ambos sexos;05 Canarias;Menores de 25 años;2021;13,54
Ambos sexos;05 Canarias;25 y más años;2023;53,34
Ambos sexos;05 Canarias;25 y más años;2022;52,50
Ambos sexos;05 Canarias;25 y más años;2021;48,37
Ambos sexos;05 Canarias;De 16 a 19 años;2023;10,51
Ambos sexos;05 Canarias;De 16 a 19 años;2022;4,80
Ambos sexos;05 Canarias;De 16 a 19 años;2021;2,24
Ambos sexos;05 Canarias;De 20 a 24 años;2023;35,30
Ambos sexos;05 Canarias;De 20 a 24 años;2022;28,10
Ambos sexos;05 Canarias;De 20 a 24 años;2021;22,31
Ambos sexos;05 Canarias;De 25 a 54 años;2023;73,27
Ambos sexos;05 Canarias;De 25 a 54 años;2022;71,74
Ambos sexos;05 Canarias;De 25 a 54 años;2021;65,57
Ambos sexos;05 Canarias;55 y más años;2023;26,07
Ambos sexos;05 Canarias;55 y más años;2022;25,37
Ambos sexos;05 Canarias;55 y más años;2021;23,14
Ambos sexos;06 Cantabria;Total;2023;50,56
Ambos sexos;06 Cantabria;Total;2022;49,61
Ambos sexos;06 Cantabria;Total;2021;49,12
Ambos sexos;06 Cantabria;Menores de 25 años;2023;23,49
Ambos sexos;06 Cantabria;Menores de 25 años;2022;19,85
Ambos sexos;06 Cantabria;Menores de 25 años;2021;18,72
Ambos sexos;06 Cantabria;25 y más años;2023;53,52
Ambos sexos;06 Cantabria;25 y más años;2022;52,85
Ambos sexos;06 Cantabria;25 y más años;2021;52,28
Ambos sexos;06 Cantabria;De 16 a 19 años;2023;5,03
Ambos sexos;06 Cantabria;De 16 a 19 años;2022;3,36
Ambos sexos;06 Cantabria;De 16 a 19 años;2021;3,93
Ambos sexos;06 Cantabria;De 20 a 24 años;2023;38,41
Ambos sexos;06 Cantabria;De 20 a 24 años;2022;34,20
Ambos sexos;06 Cantabria;De 20 a 24 años;2021;31,15
Ambos sexos;06 Cantabria;De 25 a 54 años;2023;80,87
Ambos sexos;06 Cantabria;De 25 a 54 años;2022;78,95
Ambos sexos;06 Cantabria;De 25 a 54 años;2021;77,62
Ambos sexos;06 Cantabria;55 y más años;2023;25,47
Ambos sexos;06 Cantabria;55 y más años;2022;25,41
Ambos sexos;06 Cantabria;55 y más años;2021;24,86
Ambos sexos;07 Castilla y León;Total;2023;49,45
Ambos sexos;07 Castilla y León;Total;2022;49,63
Ambos sexos;07 Castilla y León;Total;2021;48,04
Ambos sexos;07 Castilla y León;Menores de 25 años;2023;22,56
Ambos sexos;07 Castilla y León;Menores de 25 años;2022;23,87
Ambos sexos;07 Castilla y León;Menores de 25 años;2021;21,61
Ambos sexos;07 Castilla y León;25 y más años;2023;52,26
Ambos sexos;07 Castilla y León;25 y más años;2022;52,29
Ambos sexos;07 Castilla y León;25 y más años;2021;50,74
Ambos sexos;07 Castilla y León;De 16 a 19 años;2023;6,88
Ambos sexos;07 Castilla y León;De 16 a 19 años;2022;6,87
Ambos sexos;07 Castilla y León;De 16 a 19 años;2021;4,41
Ambos sexos;07 Castilla y León;De 20 a 24 años;2023;35,09
