CCAA;Tipo de jornada;Tiempo de trabajo;Periodo;Total
Total Nacional;Ambas jornadas;Horas pactadas;2007T4;156,4
Total Nacional;Ambas jornadas;Horas pactadas;2007T3;157,8
Total Nacional;Ambas jornadas;Horas pactadas;2007T2;156,6
Total Nacional;Ambas jornadas;Horas pactadas;2007T1;156,5
Total Nacional;Ambas jornadas;Horas pactadas;2006T4;156,6
Total Nacional;Ambas jornadas;Horas pactadas;2006T3;157,9
Total Nacional;Ambas jornadas;Horas pactadas;2006T2;157,1
Total Nacional;Ambas jornadas;Horas pactadas;2006T1;156,9
Total Nacional;Ambas jornadas;Horas pactadas;2005T4;157,2
Total Nacional;Ambas jornadas;Horas pactadas;2005T3;158,5
Total Nacional;Ambas jornadas;Horas pactadas;2005T2;157,6
Total Nacional;Ambas jornadas;Horas pactadas;2005T1;157,3
Total Nacional;Ambas jornadas;Horas pactadas;2004T4;157,9
Total Nacional;Ambas jornadas;Horas pactadas;2004T3;159,2
Total Nacional;Ambas jornadas;Horas pactadas;2004T2;157,8
Total Nacional;Ambas jornadas;Horas pactadas;2004T1;157,8
Total Nacional;Ambas jornadas;Horas pactadas;2003T4;158,4
Total Nacional;Ambas jornadas;Horas pactadas;2003T3;159,8
Total Nacional;Ambas jornadas;Horas pactadas;2003T2;158,7
Total Nacional;Ambas jornadas;Horas pactadas;2003T1;159
Total Nacional;Ambas jornadas;Horas pactadas;2002T4;159,4
Total Nacional;Ambas jornadas;Horas pactadas;2002T3;160,1
Total Nacional;Ambas jornadas;Horas pactadas;2002T2;159,5
Total Nacional;Ambas jornadas;Horas pactadas;2002T1;159,6
Total Nacional;Ambas jornadas;Horas pactadas;2001T4;159,7
Total Nacional;Ambas jornadas;Horas pactadas;2001T3;160,3
Total Nacional;Ambas jornadas;Horas pactadas;2001T2;159,6
Total Nacional;Ambas jornadas;Horas pactadas;2001T1;159,6
Total Nacional;Ambas jornadas;Horas pactadas;2000T4;159,8
Total Nacional;Ambas jornadas;Horas pactadas;2000T3;160,5
Total Nacional;Ambas jornadas;Horas pactadas;2000T2;159,6
Total Nacional;Ambas jornadas;Horas pactadas;2000T1;159,4
Total Nacional;Ambas jornadas;Horas pagadas;2007T4;157,1
Total Nacional;Ambas jornadas;Horas pagadas;2007T3;158,4
Total Nacional;Ambas jornadas;Horas pagadas;2007T2;157,1
Total Nacional;Ambas jornadas;Horas pagadas;2007T1;157,2
Total Nacional;Ambas jornadas;Horas pagadas;2006T4;157,3
Total Nacional;Ambas jornadas;Horas pagadas;2006T3;158,6
Total Nacional;Ambas jornadas;Horas pagadas;2006T2;157,7
Total Nacional;Ambas jornadas;Horas pagadas;2006T1;157,5
Total Nacional;Ambas jornadas;Horas pagadas;2005T4;157,9
Total Nacional;Ambas jornadas;Horas pagadas;2005T3;159,2
Total Nacional;Ambas jornadas;Horas pagadas;2005T2;158,3
Total Nacional;Ambas jornadas;Horas pagadas;2005T1;158
Total Nacional;Ambas jornadas;Horas pagadas;2004T4;158,5
Total Nacional;Ambas jornadas;Horas pagadas;2004T3;159,9
Total Nacional;Ambas jornadas;Horas pagadas;2004T2;158,4
Total Nacional;Ambas jornadas;Horas pagadas;2004T1;158,4
Total Nacional;Ambas jornadas;Horas pagadas;2003T4;159,1
Total Nacional;Ambas jornadas;Horas pagadas;2003T3;160,5
Total Nacional;Ambas jornadas;Horas pagadas;2003T2;159,3
Total Nacional;Ambas jornadas;Horas pagadas;2003T1;159,6
Total Nacional;Ambas jornadas;Horas pagadas;2002T4;160,1
Total Nacional;Ambas jornadas;Horas pagadas;2002T3;160,8
Total Nacional;Ambas jornadas;Horas pagadas;2002T2;159,8
Total Nacional;Ambas jornadas;Horas pagadas;2002T1;160,3
Total Nacional;Ambas jornadas;Horas pagadas;2001T4;160,4
Total Nacional;Ambas jornadas;Horas pagadas;2001T3;160,9
Total Nacional;Ambas jornadas;Horas pagadas;2001T2;160,1
Total Nacional;Ambas jornadas;Horas pagadas;2001T1;160,1
Total Nacional;Ambas jornadas;Horas pagadas;2000T4;160,5
Total Nacional;Ambas jornadas;Horas pagadas;2000T3;161,2
Total Nacional;Ambas jornadas;Horas pagadas;2000T2;160,2
Total Nacional;Ambas jornadas;Horas pagadas;2000T1;159,9
Total Nacional;Ambas jornadas;Horas efectivas;2007T4;133,3
Total Nacional;Ambas jornadas;Horas efectivas;2007T3;126
Total Nacional;Ambas jornadas;Horas efectivas;2007T2;138,1
Total Nacional;Ambas jornadas;Horas efectivas;2007T1;142,9
Total Nacional;Ambas jornadas;Horas efectivas;2006T4;133,7
Total Nacional;Ambas jornadas;Horas efectivas;2006T3;127,2
Total Nacional;Ambas jornadas;Horas efectivas;2006T2;138,6
Total Nacional;Ambas jornadas;Horas efectivas;2006T1;143,3
Total Nacional;Ambas jornadas;Horas efectivas;2005T4;135,8
Total Nacional;Ambas jornadas;Horas efectivas;2005T3;128
Total Nacional;Ambas jornadas;Horas efectivas;2005T2;144,2
Total Nacional;Ambas jornadas;Horas efectivas;2005T1;139,2
Total Nacional;Ambas jornadas;Horas efectivas;2004T4;136,1
Total Nacional;Ambas jornadas;Horas efectivas;2004T3;129,4
Total Nacional;Ambas jornadas;Horas efectivas;2004T2;141,5
